old;current
;301
;1101
1141;1103
1142;1103
;1103
;1106
1102;1108
1129;1108
;1108
;1111
;1112
;1114
;1119
;1120
;1121
;1122
;1124
;1127
;1130
;1133
;1134
;1135
;1144
;1145
;1146
;1149
;1151
1214;1160
1154;1160
1159;1160
;1160
1503;1505
1556;1505
;1505
1502;1506
1543;1506
1545;1506
;1506
1504;1508
1523;1508
1529;1508
1546;1508
;1511
;1514
;1515
;1516
;1517
;1520
;1525
;1528
;1531
;1532
;1535
;1539
;1547
;1554
;1557
;1560
;1563
;1566
;1573
1569;1576
1572;1576
;1576
1444;1577
1519;1577
;1577
1524;1578
1526;1578
;1578
1548;1579
1551;1579
;1579
1534;1580
1507;1599
1842;1804
;1804
;1806
;1811
;1812
;1813
;1815
;1816
;1818
;1820
;1822
;1824
;1825
;1826
;1827
;1828
;1832
;1833
;1834
;1835
;1836
;1837
;1838
;1839
;1840
;1841
;1845
;1848
;1851
;1853
;1856
;1857
;1859
;1860
;1865
;1866
;1867
;1868
;1870
;1871
;1874
;1875
1805;1899
1850;1899
1854;1899
1849;1899
101;3101
3001;3101
104;3103
136;3103
3002;3103
102;3105
114;3105
115;3105
130;3105
105;3105
3003;3105
103;3107
113;3107
131;3107
133;3107
134;3107
106;3107
3004;3107
111;3110
3011;3110
135;3112
3017;3112
137;3114
3018;3114
127;3116
3015;3116
122;3118
123;3118
124;3118
125;3118
138;3118
3014;3118
128;3120
3016;3120
119;3122
3013;3122
118;3124
3012;3124
199;3199
219;3201
3024;3201
220;3203
627;3203
628;3203
3025;3203
226;3205
227;3205
231;3205
3030;3205
213;3207
217;3207
3020;3207
235;3209
3033;3209
216;3212
3023;3212
215;3214
3022;3214
211;3216
3019;3216
214;3218
3021;3218
229;3220
3028;3220
230;3222
3029;3222
228;3224
3027;3224
121;3226
221;3226
3026;3226
236;3228
3034;3228
234;3230
3032;3230
233;3232
3031;3232
533;3234
3054;3234
532;3236
3053;3236
238;3238
3036;3238
237;3240
3035;3240
239;3242
3037;3242
299;3299
602;3301
625;3301
711;3301
3005;3301
604;3303
3006;3303
605;3305
3007;3305
612;3310
3038;3310
626;3312
3049;3312
624;3314
3048;3314
623;3316
3047;3316
622;3318
3046;3318
615;3320
3039;3320
616;3322
3040;3322
617;3324
3041;3324
618;3326
3042;3326
619;3328
3043;3328
620;3330
3044;3330
621;3332
3045;3332
631;3334
3050;3334
632;3336
3051;3336
633;3338
3052;3338
699;3399
402;3401
;3401
401;3403
414;3403
403;3403
;3403
501;3405
;3405
502;3407
;3407
412;3411
;3411
415;3412
;3412
417;3413
;3413
418;3414
;3414
419;3415
;3415
420;3416
;3416
423;3417
;3417
425;3418
;3418
426;3419
;3419
427;3420
;3420
428;3421
;3421
429;3422
;3422
430;3423
;3423
432;3424
;3424
434;3425
;3425
436;3426
;3426
437;3427
;3427
438;3428
;3428
439;3429
;3429
441;3430
;3430
511;3431
;3431
512;3432
;3432
513;3433
;3433
514;3434
;3434
515;3435
;3435
516;3436
;3436
517;3437
;3437
519;3438
;3438
520;3439
;3439
521;3440
;3440
522;3441
;3441
528;3442
;3442
529;3443
;3443
534;3446
;3446
536;3447
;3447
538;3448
;3448
540;3449
;3449
541;3450
;3450
542;3451
;3451
543;3452
;3452
544;3453
;3453
545;3454
;3454
499;3499
599;3499
701;3901
3801;3901
702;3903
714;3903
713;3903
715;3903
3802;3903
718;3905
704;3905
716;3905
3803;3905
706;3907
719;3907
720;3907
710;3907
3804;3907
709;3909
728;3909
712;3909
3805;3909
722;3911
723;3911
729;3911
3811;3911
799;3999
805;4001
3806;4001
806;4003
3807;4003
807;4005
3808;4005
811;4010
3812;4010
814;4012
3813;4012
815;4014
3814;4014
817;4016
3815;4016
819;4018
3816;4018
821;4020
822;4020
3817;4020
828;4022
3820;4022
827;4024
3819;4024
826;4026
3818;4026
829;4028
3821;4028
830;4030
3822;4030
831;4032
3823;4032
833;4034
3824;4034
834;4036
3825;4036
899;4099
901;4201
;4201
904;4202
;4202
903;4203
918;4203
920;4203
921;4203
922;4203
906;4203
;4203
1001;4204
1017;4204
1018;4204
;4204
1002;4205
1021;4205
1029;4205
;4205
1003;4206
;4206
1004;4207
;4207
911;4211
;4211
912;4212
;4212
914;4213
;4213
919;4214
;4214
926;4215
;4215
928;4216
;4216
929;4217
;4217
935;4218
;4218
937;4219
;4219
938;4220
;4220
940;4221
;4221
941;4222
;4222
1014;4223
;4223
1026;4224
;4224
1027;4225
1032;4225
;4225
1034;4226
;4226
1037;4227
;4227
1046;4228
;4228
999;4299
1099;4299
1201;4601
;4601
1401;4602
1439;4602
;4602
1211;4611
;4611
1216;4612
;4612
1219;4613
;4613
1221;4614
;4614
1222;4615
;4615
1223;4616
;4616
1224;4617
;4617
1227;4618
1228;4618
1231;4618
;4618
1232;4619
;4619
1233;4620
;4620
1234;4621
1235;4621
;4621
1238;4622
;4622
1242;4623
;4623
1241;4624
1243;4624
;4624
1244;4625
;4625
1245;4626
1246;4626
1259;4626
;4626
1247;4627
;4627
1251;4628
;4628
1252;4629
;4629
1253;4630
;4630
1256;4631
1260;4631
1263;4631
;4631
1264;4632
;4632
1265;4633
;4633
1266;4634
;4634
1411;4635
;4635
1412;4636
;4636
1413;4637
;4637
1416;4638
;4638
1417;4639
;4639
1418;4640
1419;4640
1420;4640
;4640
1421;4641
;4641
1422;4642
;4642
1424;4643
;4643
1426;4644
;4644
1428;4645
;4645
1429;4646
;4646
1430;4647
1431;4647
1432;4647
1433;4647
;4647
1438;4648
;4648
1441;4649
1443;4649
;4649
1445;4650
;4650
1449;4651
;4651
1299;4699
1499;4699
1601;5001
1662;5001
5030;5001
;5001
1702;5006
1724;5006
5004;5006
5039;5006
;5006
1703;5007
1725;5007
1748;5007
5005;5007
5040;5007
5048;5007
;5007
1620;5014
;5014
1633;5020
;5020
1634;5021
;5021
1635;5022
;5022
1640;5025
;5025
1644;5026
;5026
1648;5027
;5027
1653;5028
;5028
1657;5029
;5029
1663;5031
;5031
1664;5032
;5032
1665;5033
;5033
1711;5034
;5034
1714;5035
;5035
1717;5036
;5036
1719;5037
;5037
1721;5038
;5038
1736;5041
;5041
1738;5042
;5042
1739;5043
;5043
1740;5044
;5044
1742;5045
;5045
1743;5046
;5046
1744;5047
;5047
1749;5049
;5049
1755;5052
;5052
1723;5053
1729;5053
1756;5053
;5053
1624;5054
1718;5054
;5054
;5055
;5056
1621;5057
1627;5057
5015;5057
5017;5057
;5057
1630;5058
1632;5058
5018;5058
5019;5058
;5058
;5059
1750;5060
1751;5060
5050;5060
5051;5060
;5060
1567;5061
;5061
1612;5099
1613;5099
1571;5099
5011;5099
5012;5099
1617;5099
5013;5099
1622;5099
1636;5099
1638;5099
5016;5099
5023;5099
5024;5099
1699;5099
1799;5099
1902;5501
5401;5501
1901;5503
1915;5503
1903;5503
5402;5503
1911;5510
5411;5510
1852;5512
1913;5512
5412;5512
1917;5514
5413;5514
1919;5516
5414;5516
1920;5518
5415;5518
1922;5520
5416;5520
1923;5522
5417;5522
1924;5524
5418;5524
1925;5526
5419;5526
1926;5528
5420;5528
1927;5530
1928;5530
1929;5530
1931;5530
5421;5530
1933;5532
5422;5532
1936;5534
5423;5534
1938;5536
5424;5536
1939;5538
5425;5538
1940;5540
5426;5540
1941;5542
5427;5542
1942;5544
5428;5544
1943;5546
5429;5546
1999;5599
2012;5601
5403;5601
2001;5603
2016;5603
2004;5603
2017;5603
5406;5603
2030;5605
5444;5605
2003;5607
5405;5607
2021;5610
5437;5610
2011;5612
5430;5612
2014;5614
5432;5614
2015;5616
5433;5616
2018;5618
5434;5618
2019;5620
5435;5620
2020;5622
5436;5622
2022;5624
5438;5624
2023;5626
5439;5626
2025;5628
5441;5628
2024;5630
5440;5630
2028;5632
5443;5632
2002;5634
5404;5634
2027;5636
5442;5636
2099;5699
;9999
3099;9999
3899;9999
5499;9999
9999;9999
;3
;11
;15
;18
1;31
30;99
2;32
6;33
4;34
5;34
;34
7;39
38;99
8;40
9;42
10;42
;42
12;46
14;46
;46
16;50
17;50
;50
19;55
54;99
20;56
;99
