GEO;WEIGHTS;GEOniv
30101;60209;B
30102;63891;B
30103;46424;B
30104;39066;B
30105;59026;B
30106;34896;B
30107;50784;B
30108;53109;B
30109;35117;B
30110;27457;B
30111;33259;B
30112;49373;B
30113;50837;B
30114;52595;B
30115;39037;B
110301;13197;B
110302;15571;B
110303;24683;B
110304;21817;B
110305;17767;B
110306;19945;B
110307;23082;B
110308;3235;B
110309;5221;B
460101;13802;B
460102;42505;B
460103;44148;B
460104;30479;B
460105;40272;B
460106;30484;B
460107;42950;B
460108;41953;B
500101;52298;B
500102;59073;B
500103;55418;B
500104;43420;B
3;699827;F
11;485797;F
15;265848;F
18;240190;F
30;1269230;F
34;371253;F
38;424832;F
42;311134;F
46;641292;F
50;474131;F
54;241736;F
301;699827;K
1101;14860;K
1103;144699;K
1106;37444;K
1108;81305;K
1111;3281;k
1112;3178;k
1114;2789;k
1119;19296;K
1120;20163;K
1121;19353;K
1122;12131;K
1124;27568;K
1127;11454;K
1130;13268;K
1133;2534;k
1134;3784;k
1135;4525;k
1144;523;k
1145;855;k
1146;11283;K
1149;42541;K
1151;188;k
1160;8775;k
1505;24013;K
1506;32002;K
1507;67114;K
1511;3045;k
1514;2422;k
1515;8765;k
1516;8557;k
1517;5126;k
1520;10833;K
1525;4467;k
1528;7558;k
1531;9547;k
1532;8597;k
1535;6936;k
1539;7019;k
1547;3518;k
1554;5828;k
1557;2669;k
1560;2960;k
1563;6932;k
1566;5849;k
1573;2120;k
1576;3384;k
1577;10809;K
1578;2491;k
1579;13287;K
1804;52803;K
1806;21530;K
1811;1406;k
1812;1981;k
1813;7777;k
1815;1175;k
1816;462;k
1818;1825;k
1820;7333;k
1822;2257;k
1824;13233;K
1825;1461;k
1826;1273;k
1827;1369;k
1828;1698;k
1832;4420;k
1833;26092;K
1834;1869;k
1835;450;k
1836;1153;k
1837;6214;k
1838;1894;k
1839;1012;k
1840;4617;k
1841;9603;k
1845;1869;k
1848;2591;k
1851;1976;k
1853;1334;k
1856;469;k
1857;678;k
1859;1216;k
1860;11566;K
1865;9724;k
1866;8107;k
1867;2565;k
1868;4458;k
1870;10468;K
1871;4572;k
1874;982;k
1875;2708;k
3001;31444;K
3002;50290;K
3003;58182;K
3004;83892;K
3005;102273;K
3006;27879;K
3007;31011;K
3011;4741;k
3012;1315;k
3013;3578;k
3014;45608;K
3015;3846;k
3016;8312;k
3017;7633;k
3018;5913;k
3019;18699;K
3020;61032;K
3021;20780;K
3022;16084;K
3023;19939;K
3024;128982;K
3025;96088;K
3026;17754;K
3027;19024;K
3028;11249;K
3029;44693;K
3030;89095;K
3031;24947;K
3032;6989;k
3033;41565;K
3034;23898;K
3035;26716;K
3036;15074;K
3037;2905;k
3038;6859;k
3039;1057;k
3040;3273;k
3041;4667;k
3042;2611;k
3043;4650;k
3044;4504;k
3045;3492;k
3046;2189;k
3047;14273;K
3048;20044;K
3049;27584;K
3050;2720;k
3051;1370;k
3052;2455;k
3053;6908;k
3054;9144;k
3401;17949;K
3403;31999;K
3405;28425;K
3407;30267;K
3411;35073;K
3412;7715;k
3413;21156;K
3414;5016;k
3415;7978;k
3416;6032;k
3417;4548;k
3418;7211;k
3419;3597;k
3420;21435;K
3421;6603;k
3422;4195;k
3423;2318;k
3424;1722;k
3425;1253;k
3426;1551;k
3427;5581;k
3428;2445;k
3429;1530;k
3430;1855;k
3431;2498;k
3432;1986;k
3433;2151;k
3434;2211;k
3435;3591;k
3436;5628;k
3437;5531;k
3438;3064;k
3439;4385;k
3440;5082;k
3441;6079;k
3442;14827;K
3443;13572;K
3446;13633;K
3447;5535;k
3448;6577;k
3449;2889;k
3450;1256;k
3451;6354;k
3452;2111;k
3453;3252;k
3454;1587;k
3801;27502;K
3802;25681;K
3803;57794;K
3804;64943;K
3805;47777;K
3806;36624;K
3807;55513;K
3808;13029;K
3811;27165;K
3812;2349;k
3813;14056;K
3814;10351;K
3815;4093;k
3816;6494;k
3817;10539;K
3818;5512;k
3819;1562;k
3820;2889;k
3821;2452;k
3822;1414;k
3823;1198;k
3824;2140;k
3825;3755;k
4201;6735;k
4202;24017;K
4203;45509;K
4204;113737;K
4205;23147;K
4206;9622;k
4207;9048;k
4211;2427;k
4212;2131;k
4213;6115;k
4214;6098;k
4215;11279;K
4216;5342;k
4217;1801;k
4218;1323;k
4219;3653;k
4220;1134;k
4221;1169;k
4222;935;k
4223;15123;K
4224;912;k
4225;10480;K
4226;1704;k
4227;5883;k
4228;1810;k
4601;286930;K
4602;17131;K
4611;4043;k
